Wall time,Step,Value
1739167475.3858094,0,4683.12939453125
1739167478.2766623,1,4631.42578125
1739167481.0624387,2,4584.421875
1739167483.8554711,3,4784.96728515625
1739167486.680411,4,4823.1748046875
1739167489.541108,5,3985.250732421875
1739167492.360915,6,4837.93017578125
1739167495.2611408,7,4754.5283203125
1739167498.1261165,8,4712.32275390625
1739167500.9652,9,4827.4951171875
