Wall time,Step,Value
1739163254.109313,0,75.1100082397461
1739163262.0973375,1,54.74037551879883
1739163270.6154194,2,51.532623291015625
1739163278.6711898,3,74.354248046875
1739163286.8161926,4,33.36859130859375
1739163295.0011938,5,36.22481918334961
1739163303.1897728,6,48.146732330322266
1739163311.5364392,7,59.262046813964844
1739163319.740649,8,58.066707611083984
1739163328.348487,9,69.38629913330078
1739163336.8278303,10,89.54920959472656
1739163345.297031,11,77.59490203857422
1739163353.6877468,12,96.23419189453125
1739163362.0409381,13,139.79689025878906
1739163370.6461103,14,157.13763427734375
1739163379.1147485,15,123.07415008544922
1739163387.8184717,16,115.05958557128906
1739163396.5235057,17,120.83960723876953
1739163405.249735,18,160.83116149902344
1739163414.067564,19,157.5504913330078
1739163422.8434741,20,148.917236328125
1739163431.620835,21,216.43893432617188
1739163440.5424726,22,235.3237762451172
1739163449.2342558,23,179.77516174316406
1739163457.9015136,24,200.6741943359375
1739163466.7025197,25,189.10025024414062
1739163475.8046527,26,215.43753051757812
1739163484.750351,27,190.2578582763672
1739163493.4658427,28,202.3311309814453
1739163502.1232562,29,235.68824768066406
1739163510.912324,30,266.4591064453125
1739163519.611745,31,271.15008544921875
1739163528.4984572,32,236.84292602539062
1739163537.3505533,33,265.81573486328125
1739163546.314368,34,280.90716552734375
1739163555.2280211,35,355.9442443847656
1739163563.9883363,36,330.93365478515625
1739163572.7397356,37,357.9446716308594
1739163581.7146711,38,331.575439453125
1739163590.638216,39,305.0664978027344
1739163599.5225894,40,475.7034606933594
1739163608.6752124,41,486.21856689453125
1739163617.5803194,42,579.0845947265625
1739163626.4891715,43,567.3202514648438
1739163635.545607,44,559.3256225585938
1739163644.6939425,45,477.38909912109375
1739163653.7712977,46,353.9322814941406
1739163663.0579069,47,483.5797424316406
1739163672.0760999,48,752.09619140625
1739163681.321644,49,843.8206787109375
1739163690.3944378,50,873.1893920898438
1739163699.5504973,51,859.6083374023438
1739163708.6251814,52,868.302734375
1739163717.7341897,53,945.44970703125
1739163726.7903101,54,563.1973876953125
1739163736.024122,55,1111.850341796875
1739163745.0532963,56,964.6796264648438
1739163754.2979958,57,1398.643798828125
1739163763.3003423,58,807.5280151367188
1739163772.4333048,59,1238.743408203125
1739163781.632984,60,1265.0655517578125
1739163790.5455935,61,2082.381103515625
1739163799.5270321,62,2944.047607421875
1739163808.7676804,63,1355.8138427734375
1739163818.0070097,64,2538.275146484375
1739163827.0034063,65,2376.744140625
1739163836.4851253,66,2844.005126953125
1739163845.718321,67,1976.010009765625
1739163854.769882,68,3366.410888671875
1739163863.9136877,69,1746.7481689453125
1739163873.3431647,70,1099.9881591796875
1739163882.6534853,71,2036.541259765625
1739163892.0439599,72,2405.323974609375
1739163901.3672812,73,3615.459228515625
1739163910.7916534,74,3441.46533203125
1739163920.0596204,75,3029.304931640625
1739163929.447668,76,2071.88623046875
1739163938.6196613,77,4057.27734375
1739163948.6289127,78,3060.681884765625
1739163957.8453267,79,3500.2548828125
1739163967.3310213,80,3282.3212890625
1739163976.8906457,81,2707.75732421875
1739163986.638104,82,2718.1240234375
1739163996.1710782,83,3467.485595703125
1739164005.5820942,84,2264.388671875
1739164015.0142796,85,3289.56005859375
1739164024.8979273,86,2750.955078125
1739164034.7587457,87,2850.737060546875
1739164044.3826373,88,107.9740982055664
1739164053.9542992,89,2854.8984375
1739164063.635465,90,3504.12646484375
1739164073.5252874,91,3884.960205078125
1739164083.685534,92,2476.424560546875
1739164093.801461,93,3486.6025390625
1739164103.574515,94,2360.558349609375
1739164113.5362844,95,3662.824951171875
1739164123.393034,96,2315.817138671875
1739164133.251643,97,115.95428466796875
1739164143.117369,98,34.15278625488281
1739164152.6466575,99,48.07737731933594
