Wall time,Step,Value
1739163254.1089826,0,332.3768615722656
1739163262.0971909,1,311.9929504394531
1739163270.6152759,2,290.9627685546875
1739163278.6710377,3,356.2660217285156
1739163286.816128,4,317.9949951171875
1739163295.0011435,5,329.00518798828125
1739163303.189719,6,343.42041015625
1739163311.5363874,7,353.688720703125
1739163319.740583,8,360.5794982910156
1739163328.3484163,9,374.3135070800781
1739163336.827774,10,394.6054382324219
1739163345.296965,11,396.0238952636719
1739163353.6872993,12,385.3819885253906
1739163362.0407932,13,454.7925109863281
1739163370.6459596,14,458.1075134277344
1739163379.1146023,15,414.4840393066406
1739163387.8184135,16,448.7967529296875
1739163396.5234416,17,436.8399658203125
1739163405.2496645,18,468.43206787109375
1739163414.067398,19,549.6734008789062
1739163422.8434143,20,474.83880615234375
1739163431.6207767,21,527.5250244140625
1739163440.5424097,22,584.93798828125
1739163449.2340667,23,549.7760009765625
1739163457.9013646,24,566.63037109375
1739163466.7023685,25,549.5775146484375
1739163475.804588,26,581.4254150390625
1739163484.7502978,27,542.2135009765625
1739163493.4657795,28,574.864990234375
1739163502.123078,29,619.7071533203125
1739163510.9121604,30,719.01416015625
1739163519.611592,31,663.3378295898438
1739163528.4983125,32,624.015380859375
1739163537.3504725,33,610.1444091796875
1739163546.3142202,34,785.386962890625
1739163555.2278748,35,722.9216918945312
1739163563.9881372,36,790.4037475585938
1739163572.7395906,37,928.3482666015625
1739163581.7146063,38,836.4847412109375
1739163590.638156,39,766.54052734375
1739163599.5225344,40,919.1683349609375
1739163608.6751578,41,1188.802490234375
1739163617.5802493,42,1241.476318359375
1739163626.4890175,43,1155.9178466796875
1739163635.5454326,44,1238.1116943359375
1739163644.6937945,45,1151.2239990234375
1739163653.7711499,46,1107.1439208984375
1739163663.0578418,47,1402.6082763671875
1739163672.0759995,48,1764.873046875
1739163681.3214855,49,1726.3721923828125
1739163690.3942883,50,1450.093994140625
1739163699.5503442,51,1302.8447265625
1739163708.6249905,52,1593.85205078125
1739163717.7341287,53,1730.6585693359375
1739163726.790249,54,1383.017578125
1739163736.0240588,55,1831.5858154296875
1739163745.0532415,56,1826.1512451171875
1739163754.2975972,57,2791.423583984375
1739163763.3001378,58,1707.9569091796875
1739163772.4331594,59,1804.4951171875
1739163781.6324935,60,2485.767333984375
1739163790.5455368,61,3808.671875
1739163799.526927,62,4110.232421875
1739163808.7676249,63,2497.028076171875
1739163818.0068004,64,3299.04052734375
1739163827.0030873,65,4372.57373046875
1739163836.484811,66,5653.78515625
1739163845.718126,67,3587.030029296875
1739163854.769619,68,5137.5380859375
1739163863.913631,69,3036.87158203125
1739163873.3430135,70,2510.993896484375
1739163882.6534204,71,3479.71044921875
1739163892.0437968,72,4317.19775390625
1739163901.3670452,73,5109.87158203125
1739163910.7913878,74,7146.00634765625
1739163920.0595608,75,6998.236328125
1739163929.4476101,76,3450.923583984375
1739163938.6196086,77,6257.7119140625
1739163948.6288552,78,8340.1787109375
1739163957.8451385,79,5042.8701171875
1739163967.3309724,80,5139.7978515625
1739163976.89059,81,9009.7060546875
1739163986.6380472,82,4438.736328125
1739163996.1708767,83,7431.015625
1739164005.5820355,84,9428.4345703125
1739164015.0140913,85,5815.34765625
1739164024.8978746,86,7369.56591796875
1739164034.7586935,87,6731.7734375
1739164044.3825662,88,10530.388671875
1739164053.954248,89,3688.387939453125
1739164063.6352682,90,8204.8056640625
1739164073.5247815,91,6832.04931640625
1739164083.6853302,92,7475.69091796875
1739164093.8014073,93,7348.77197265625
1739164103.5744543,94,4607.84375
1739164113.5359833,95,7762.64453125
1739164123.3928142,96,8330.8310546875
1739164133.2515833,97,10565.1005859375
1739164143.1171792,98,10376.095703125
1739164152.646462,99,10506.076171875
